"","title","metascore","criticscore"
"1","Super Mario 3D All-Stars",82,80
"2","Iron Harvest",75,60
"3","Wasteland 3",85,80
"4","Fall Guys: Ultimate Knockout",80,90
"5","The Sims 4: Nifty Knitting",63,80
"6","Paper Mario: The Origami King",79,70
"7","Ghost of Tsushima",83,90
"8","Marvel's Iron Man VR",73,60
"9","Pokemon Sword / Shield: The Isle of Armor",69,70
"10","The Last of Us Part II",93,10
"11","The Outer Worlds",66,50
"12","World War Z Game of the Year Edition",68,60
"13","Gears Tactics",80,80
"14","Final Fantasy VII Remake",87,60
"15","Call of Duty: Warzone",79,90
"16","MLB The Show 20",83,60
"17","Afterparty",74,50
"18","Resident Evil 3",79,80
"19","DOOM Eternal",88,90
"20","Animal Crossing: New Horizons",90,80
"21","Pokemon Mystery Dungeon: Rescue Team DX",68,50
"22","Warcraft III: Reforged",59,60
"23","Pascal's Wager",78,70
"24","Star Wars Jedi: Fallen Order",79,80
"25","Death Stranding",82,70
"26","Call of Duty: Modern Warfare",80,80
"27","Ring Fit Adventure",83,90
"28","Destiny 2: Shadowkeep",73,70
"29","Tom Clancy's Ghost Recon: Breakpoint",56,60
